Orthogroup	Best Gene Name	Gene Name Occurrences
OG0000035	PTS sugar transporter subunit IIB	"{'PTS sugar transporter subunit IIB': 158, 'Oligo-beta-mannoside-specific phosphotransferase enzyme IIB component': 1, 'Lichenan-specific phosphotransferase enzyme IIB component': 16, 'cellobiose phosphotransferase system IIB component': 1, 'PTS system oligo-beta-mannoside-specific EIIB component': 1, ""PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB"": 1, 'PTS system cellobiose-specific EIIB component': 7, ""N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIB component"": 1}"
OG0000036	ABC transporter ATP-binding protein	{'Alpha-hemolysin translocation ATP-binding protein HlyB': 1, 'ABC transporter ATP-binding protein': 129, 'Lipid A export ATP-binding/permease protein MsbA': 2, 'Putative multidrug export ATP-binding/permease protein': 9, 'putative ABC transporter ATP-binding protein': 39, 'ATP-binding cassette domain-containing protein': 2}
OG0000037	magnesium transporter CorA family protein	{'magnesium transporter CorA family protein': 143, 'Magnesium transport protein CorA': 5, 'hypothetical protein': 2, 'Cobalt/magnesium transport protein CorA': 1, 'CorA-like Mg2+ transporter protein': 29}
OG0000038	ABC transporter ATP-binding protein	{'Oligopeptide transport ATP-binding protein OppD': 1, 'dipeptide ABC transporter ATP-binding protein': 2, 'ABC transporter ATP-binding protein': 90, 'putative D,D-dipeptide transport ATP-binding protein DdpF': 1, 'Glutathione import ATP-binding protein GsiA': 5, 'Oligopeptide transport ATP-binding protein OppF': 41, 'ATP-binding cassette domain-containing protein': 40}
OG0000039	ABC transporter ATP-binding protein	{'Oligopeptide transport ATP-binding protein OppD': 38, 'ABC transporter ATP-binding protein': 133, 'Glutathione import ATP-binding protein GsiA': 5}
OG0000040	FAD-dependent oxidoreductase	{'NADH peroxidase': 14, 'CoA-disulfide reductase': 1, 'NADH oxidase': 71, 'putative NADH oxidase': 1, 'FAD-dependent oxidoreductase': 88}
OG0000041	amino acid permease	{'APC family permease': 1, 'amino acid permease': 127, 'putative glutamate/gamma-aminobutyrate antiporter': 2, 'Inner membrane transporter YjeM': 12, 'Glutamate/gamma-aminobutyrate antiporter': 2, 'Inner membrane transporter YgjI': 4, 'putative amino acid permease YhdG': 2, 'Inner membrane transporter YcaM': 22, 'Arginine/agmatine antiporter': 1}
OG0000042	alpha/beta fold hydrolase	{'Haloalkane dehalogenase': 1, 'proline-specific peptidase family protein': 44, 'alpha/beta fold hydrolase': 88, '2-hydroxymuconate semialdehyde hydrolase': 2, 'Proline iminopeptidase': 32, 'prolyl aminopeptidase': 2, 'alpha/beta hydrolase': 2}
OG0000043	response regulator transcription factor	{'putative transcriptional regulatory protein NarL': 2, 'Oxygen regulatory protein NreC': 14, 'Response regulator protein TodT': 1, 'Transcriptional regulatory protein DevR (DosR)': 2, 'helix-turn-helix transcriptional regulator': 1, 'Transcriptional regulatory protein LiaR': 18, 'Transcriptional regulatory protein DegU': 13, 'Response regulator protein VraR': 10, 'response regulator transcription factor': 108}
OG0000044	zinc-binding dehydrogenase	{'Alcohol dehydrogenase': 8, 'Aryl-alcohol dehydrogenase': 7, 'Sorbitol dehydrogenase': 9, 'galactitol-1-phosphate 5-dehydrogenase': 6, '2-deoxy-scyllo-inosamine dehydrogenase': 4, 'Formaldehyde dismutase': 2, 'putative zinc-binding alcohol dehydrogenase': 2, 'alcohol dehydrogenase catalytic domain-containing protein': 10, 'putative zinc-type alcohol dehydrogenase-like protein YjmD': 3, 'zinc-binding dehydrogenase': 65, 'Galactitol-1-phosphate 5-dehydrogenase': 3, 'Putative L-galactonate oxidoreductase': 1, 'NADP-dependent isopropanol dehydrogenase': 14, 'D-xylulose reductase': 1, 'putative formaldehyde dehydrogenase AdhA': 1, 'L-threonine 3-dehydrogenase': 5, 'L-idonate 5-dehydrogenase (NAD(P)(+))': 2, 'S-(hydroxymethyl)mycothiol dehydrogenase': 2, 'Putative alcohol dehydrogenase D': 1, 'Geraniol dehydrogenase': 1, 'NAD(P)-dependent alcohol dehydrogenase': 2, 'S-(hydroxymethyl)glutathione dehydrogenase': 1, 'D-arabitol-phosphate dehydrogenase': 5, 'Glutathione-independent formaldehyde dehydrogenase': 2, 'zinc-dependent alcohol dehydrogenase family protein': 3, 'hypothetical protein': 2, 'Alcohol dehydrogenase 1': 6}
OG0000045	Y-family DNA polymerase	{'DNA polymerase': 1, 'ImpB/MucB/SamB family protein': 3, 'DNA polymerase, partial': 12, 'Y-family DNA polymerase': 91, 'Y-family DNA polymerase, partial': 2, 'DNA repair protein': 12, 'hypothetical protein': 3, 'DNA repair protein, partial': 1, 'ImpB/MucB/SamB family protein, partial': 1, 'DNA polymerase IV': 40}
OG0000046	helix-turn-helix transcriptional regulator	{'Helix-turn-helix domain protein': 2, 'helix-turn-helix domain-containing protein': 15, 'DNA-binding transcriptional repressor PuuR': 2, 'hypothetical protein': 12, 'helix-turn-helix transcriptional regulator': 91, 'Helix-turn-helix': 3, 'HTH-type transcriptional regulator Xre': 6, 'transcriptional repressor DicA': 7, 'HTH-type transcriptional regulator ImmR': 27}
OG0000047	divalent metal cation transporter	{'divalent metal cation transporter': 82, 'Mn(2+) uptake NRAMP transporter MntH': 44, 'Divalent metal cation transporter MntH': 37}
OG0000048	1,4-dihydroxy-2-naphthoate polyprenyltransferase	{'prenyltransferase': 39, '1,4-dihydroxy-2-naphthoate polyprenyltransferase': 90, '1,4-dihydroxy-2-naphthoate octaprenyltransferase': 33}
OG0000049	DUF3991 domain-containing protein	{'LtrC-like protein, partial': 11, 'DUF1738 domain-containing protein, partial': 3, 'ImmA/IrrE family metallo-endopeptidase': 3, 'LtrC-like protein': 30, 'hypothetical protein': 30, 'DUF3991 domain-containing protein, partial': 12, 'LtrC': 1, 'DUF3991 domain-containing protein': 53, 'DNA primase': 16}
OG0000050	ABC transporter ATP-binding protein	{'sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC': 30, 'Sulfate/thiosulfate import ATP-binding protein CysA': 2, 'Trehalose import ATP-binding protein SugC': 13, 'sn-glycerol-3-phosphate import ATP-binding protein UgpC': 8, 'ABC transporter ATP-binding protein': 96, 'Spermidine/putrescine import ATP-binding protein PotA': 4, 'Maltose/maltodextrin import ATP-binding protein MalK': 4}
OG0000051	class II fructose-1,6-bisphosphate aldolase	{'ketose-bisphosphate aldolase': 39, 'Fructose-bisphosphate aldolase': 22, 'putative fructose-bisphosphate aldolase': 4, '6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase': 3, 'class II fructose-bisphosphate aldolase family protein': 10, 'D-tagatose-1,6-bisphosphate aldolase subunit GatY': 3, 'D-tagatose-1,6-bisphosphate aldolase subunit KbaY': 3, 'class II aldolase': 7, 'class II fructose-1,6-bisphosphate aldolase': 44, 'class II fructose-bisphosphate aldolase': 21}
OG0000052	SDR family oxidoreductase	{'putative sugar epimerase YhfK': 1, '3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase': 1, 'NAD dependent epimerase/dehydratase family protein': 2, 'NmrA-like family protein': 21, 'Glutamyl-tRNA reductase': 1, 'SDR family oxidoreductase': 87, 'hypothetical protein': 6, 'NAD(P)H azoreductase': 1, 'saccharopine dehydrogenase': 35}
OG0000053	amino acid permease	{'amino acid permease': 93, 'putative transport protein YifK': 11, 'D-serine/D-alanine/glycine transporter': 44, 'GABA permease': 1, 'Aromatic amino acid transport protein AroP': 5}
OG0000054	hypothetical protein	{'NlpC/P60 family protein': 39, 'peptidoglycan endopeptidase': 2, 'Gamma-D-glutamyl-L-lysine endopeptidase': 5, 'Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase precursor': 4, 'glycoside hydrolase': 8, 'Murein DD-endopeptidase MepH precursor': 14, 'putative endopeptidase p60': 2, 'Murein DD-endopeptidase MepH': 2, 'hypothetical protein': 49, 'putative endopeptidase precursor': 11, 'D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS precursor': 3, 'putative peptidoglycan endopeptidase LytE precursor': 3, 'D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS': 1, 'putative endopeptidase p60 precursor': 10}
OG0000055	GlsB/YeaQ/YmgE family stress response membrane protein	{'GlsB/YeaQ/YmgE family stress response membrane protein': 105, 'hypothetical protein': 5, 'Transglycosylase associated protein': 42, 'GlsB/YeaQ/YmgE family stress response membrane protein, partial': 1}
OG0000056	hypothetical protein	{'hypothetical protein': 152}
OG0000057	aquaporin family protein	{'putative glycerol uptake facilitator protein': 1, 'Glycerol uptake facilitator protein': 30, 'aquaporin family protein': 98, 'Glycerol facilitator-aquaporin gla': 17}
OG0000058	sugar ABC transporter permease	{'sugar ABC transporter permease': 93, 'L-arabinose transport system permease protein AraP': 11, 'Lactose transport system permease protein LacF': 22, 'sn-glycerol-3-phosphate transport system permease protein UgpA': 13, 'hypothetical protein': 1, 'Maltose transport system permease protein MalF': 1, 'Trehalose transport system permease protein SugA': 2, 'Inner membrane ABC transporter permease protein YcjO': 1}
OG0000059	ROK family glucokinase	{'N-acetyl-D-glucosamine kinase': 1, 'ROK family protein': 39, 'Glucokinase': 24, 'Beta-glucoside kinase': 30, 'hypothetical protein': 1, 'ROK family glucokinase': 46, 'N-acetylmannosamine kinase': 1}
OG0000060	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	{'Methionine aminotransferase': 2, 'aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme': 45, 'putative N-succinyldiaminopimelate aminotransferase DapC': 2, 'Putative N-acetyl-LL-diaminopimelate aminotransferase': 44, 'pyridoxal phosphate-dependent aminotransferase': 45, 'Aspartate aminotransferase': 2, 'aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme, partial': 1}
OG0000061	amino acid permease	{'APC family permease': 2, 'amino acid permease': 91, 'putative transporter': 1, 'Low-affinity putrescine importer PlaP': 1, 'Putrescine importer PuuP': 6, 'putative amino acid permease YhdG': 39}
OG0000062	ABC transporter permease	{'putative D,D-dipeptide transport system permease protein DdpC': 1, 'ABC transporter permease subunit': 1, 'Dipeptide transport system permease protein DppC': 8, 'Glutathione transport system permease protein GsiD': 11, 'ABC transporter permease': 93, 'hypothetical protein': 1, 'Nickel transport system permease protein NikC': 1, 'Oligopeptide transport system permease protein OppC': 24}
OG0000063	Cof-type HAD-IIB family hydrolase	{'HAD-IIB family hydrolase': 1, 'Sugar phosphatase YidA': 31, 'Putative phosphatase YwpJ': 1, 'HAD family phosphatase': 8, 'Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase': 3, 'Pyridoxal phosphate phosphatase YigL': 1, 'Putative phosphatase': 28, 'Cof-type HAD-IIB family hydrolase': 64, 'HAD family hydrolase': 1, 'Phosphatase YwpJ': 1}
